claim_id,instance_id,optimizer,init_seed,delta,p1_best_expected_cut,p2_best_expected_cut,p1_n_evals,p2_n_evals,margin,preserves_direction
ALGO-C3,er_n8_p0.2_seed1,Powell,3,0.05,5.150764699617815,5.152655733270026,62,124,0.001891033652211327,0
ALGO-C1,er_n8_p0.2_seed1,Powell,4,0.0,5.150764126361071,5.7341423430513725,48,416,0.5833782166903019,1
ALGO-C2,er_n8_p0.2_seed1,Powell,4,0.01,5.150764126361071,5.7341423430513725,48,416,0.5833782166903019,1
ALGO-C3,er_n8_p0.2_seed1,Powell,4,0.05,5.150764126361071,5.7341423430513725,48,416,0.5833782166903019,1
ALGO-C1,er_n8_p0.2_seed1,Powell,5,0.0,5.150763603220692,5.415278811124816,46,341,0.2645152079041244,1
ALGO-C2,er_n8_p0.2_seed1,Powell,5,0.01,5.150763603220692,5.415278811124816,46,341,0.2645152079041244,1
ALGO-C3,er_n8_p0.2_seed1,Powell,5,0.05,5.150763603220692,5.415278811124816,46,341,0.2645152079041244,1
ALGO-C1,er_n8_p0.2_seed1,Powell,6,0.0,5.15076483534939,5.869518121371232,64,120,0.7187532860218422,1
ALGO-C2,er_n8_p0.2_seed1,Powell,6,0.01,5.15076483534939,5.869518121371232,64,120,0.7187532860218422,1
ALGO-C3,er_n8_p0.2_seed1,Powell,6,0.05,5.15076483534939,5.869518121371232,64,120,0.7187532860218422,1
ALGO-C1,er_n8_p0.2_seed1,Powell,7,0.0,5.150764711870442,5.734142010919098,50,244,0.5833772990486557,1
ALGO-C2,er_n8_p0.2_seed1,Powell,7,0.01,5.150764711870442,5.734142010919098,50,244,0.5833772990486557,1
ALGO-C3,er_n8_p0.2_seed1,Powell,7,0.05,5.150764711870442,5.734142010919098,50,244,0.5833772990486557,1
ALGO-C1,er_n8_p0.2_seed1,Powell,8,0.0,5.150764835294202,5.415280927749527,65,253,0.2645160924553247,1
ALGO-C2,er_n8_p0.2_seed1,Powell,8,0.01,5.150764835294202,5.415280927749527,65,253,0.2645160924553247,1
ALGO-C3,er_n8_p0.2_seed1,Powell,8,0.05,5.150764835294202,5.415280927749527,65,253,0.2645160924553247,1
ALGO-C1,er_n8_p0.2_seed1,Powell,9,0.0,5.150764835349652,5.7341369361060615,65,212,0.5833721007564092,1
ALGO-C2,er_n8_p0.2_seed1,Powell,9,0.01,5.150764835349652,5.7341369361060615,65,212,0.5833721007564092,1
ALGO-C3,er_n8_p0.2_seed1,Powell,9,0.05,5.150764835349652,5.7341369361060615,65,212,0.5833721007564092,1
ALGO-C1,er_n8_p0.2_seed2,COBYLA,0,0.0,3.8045904606503846,3.8335112821763633,30,30,0.028920821525978635,1
ALGO-C2,er_n8_p0.2_seed2,COBYLA,0,0.01,3.8045904606503846,3.8335112821763633,30,30,0.028920821525978635,1
ALGO-C3,er_n8_p0.2_seed2,COBYLA,0,0.05,3.8045904606503846,3.8335112821763633,30,30,0.028920821525978635,0
ALGO-C1,er_n8_p0.2_seed2,COBYLA,1,0.0,3.8047962027823927,3.4766106656270557,30,30,-0.32818553715533705,0
ALGO-C2,er_n8_p0.2_seed2,COBYLA,1,0.01,3.8047962027823927,3.4766106656270557,30,30,-0.32818553715533705,0
